생산일자,제품유형,교대,라인,작업조,불량률
2026-01-04,기어,야간,L3,B조,0.008264462809917356
2026-01-07,브라켓,주간,L2,B조,0.017543859649122806
2026-01-05,하우징,주간,L3,B조,0.01694915254237288
2026-01-22,하우징,주간,L3,B조,0.006756756756756757
2026-01-12,브라켓,주간,L3,C조,0.0273224043715847
2026-01-22,샤프트,주간,L3,B조,0.012711864406779662
2026-01-19,기어,주간,L2,A조,0.017341040462427744
2026-01-01,하우징,주간,L3,C조,0.014285714285714285
2026-01-10,샤프트,주간,L3,B조,0.01762114537444934
2026-01-01,하우징,주간,L3,C조,0.03896103896103896
2026-01-03,하우징,주간,L3,A조,0.03296703296703297
2026-01-15,하우징,주간,L2,A조,0.019417475728155338
2026-01-09,샤프트,주간,L3,C조,0.024096385542168676
2026-01-03,하우징,야간,L3,B조,0.046052631578947366
2026-01-13,샤프트,야간,L3,A조,0.04
2026-01-15,브라켓,주간,L3,C조,0.043478260869565216
2026-01-31,샤프트,주간,L3,B조,0.02512562814070352
2026-01-21,브라켓,주간,L3,C조,0.01818181818181818
2026-01-13,기어,주간,L3,B조,0.029411764705882353
2026-01-15,기어,주간,L3,B조,0.011235955056179775
2026-01-03,기어,야간,L3,B조,0.023809523809523808
2026-01-12,샤프트,주간,L3,B조,0.0196078431372549
2026-01-19,기어,주간,L3,B조,0.006134969325153374
2026-01-01,브라켓,야간,L3,A조,0.03763440860215054
2026-01-29,하우징,주간,L3,A조,0.022598870056497175
2026-01-16,샤프트,주간,L3,A조,0.017543859649122806
2026-01-25,하우징,주간,L2,B조,0.020080321285140562
2026-01-09,브라켓,야간,L3,C조,0.02459016393442623
2026-01-26,브라켓,주간,L1,A조,0.024875621890547265
2026-01-12,기어,야간,L3,C조,0.03225806451612903
2026-01-29,샤프트,야간,L3,B조,0.03571428571428571
2026-01-17,브라켓,주간,L3,B조,0.02127659574468085
2026-01-20,기어,야간,L3,B조,0.014492753623188406
2026-01-07,기어,주간,L3,A조,0.0196078431372549
2026-01-31,하우징,주간,L2,A조,0.024096385542168676
2026-01-06,샤프트,주간,L1,B조,0.027210884353741496
2026-01-02,브라켓,야간,L3,C조,0.02040816326530612
2026-01-14,샤프트,주간,L3,B조,0.01818181818181818
2026-01-26,하우징,주간,L3,B조,0.013333333333333334
2026-01-29,브라켓,야간,L3,A조,0.02145922746781116
2026-01-27,브라켓,주간,L3,A조,0.009216589861751152
2026-01-18,브라켓,야간,L2,C조,0.023923444976076555
2026-01-29,브라켓,야간,L3,A조,0.029585798816568046
2026-01-16,샤프트,주간,L2,B조,0.02631578947368421
2026-01-15,브라켓,야간,L3,B조,0.025423728813559324
2026-01-06,브라켓,야간,L3,B조,0.02304147465437788
2026-01-25,기어,주간,L3,A조,0.02247191011235955
2026-01-10,기어,야간,L3,C조,0.02158273381294964
2026-01-07,샤프트,야간,L3,A조,0.03418803418803419
2026-01-12,하우징,야간,L3,B조,0.02976190476190476
2026-01-19,하우징,야간,L3,C조,0.025
2026-01-09,기어,주간,L3,B조,0.01990049751243781
2026-01-12,기어,주간,L3,B조,0.016666666666666666
2026-01-11,하우징,주간,L3,A조,0.02054794520547945
2026-01-19,샤프트,주간,L3,A조,0.026785714285714284
2026-01-23,브라켓,야간,L3,A조,0.031446540880503145
2026-01-21,샤프트,야간,L3,B조,0.013986013986013986
2026-01-05,샤프트,주간,L3,B조,0.036036036036036036
2026-01-11,샤프트,주간,L3,A조,0.017316017316017316
2026-01-21,브라켓,야간,L3,C조,0.019138755980861243
2026-01-07,브라켓,주간,L3,C조,0.020689655172413793
2026-01-03,샤프트,야간,L3,B조,0.011235955056179775
2026-01-10,샤프트,야간,L3,A조,0.03139013452914798
2026-01-22,기어,주간,L2,A조,0.03535353535353535
2026-01-21,샤프트,주간,L2,B조,0.022988505747126436
2026-01-05,하우징,야간,L2,B조,0.02197802197802198
2026-01-21,샤프트,주간,L3,A조,0.012345679012345678
2026-01-07,기어,야간,L3,B조,0.025
2026-01-23,기어,주간,L3,C조,0.026785714285714284
2026-01-18,기어,주간,L3,B조,0.010526315789473684
2026-01-04,기어,주간,L3,B조,0.02100840336134454
2026-01-11,샤프트,야간,L3,B조,0.041176470588235294
2026-01-26,샤프트,야간,L2,C조,0.02197802197802198
2026-01-14,샤프트,야간,L3,B조,0.02072538860103627
2026-01-22,샤프트,주간,L2,A조,0.03361344537815126
2026-01-24,브라켓,야간,L3,C조,0.023255813953488372
2026-01-01,샤프트,주간,L3,C조,0.015151515151515152
2026-01-29,기어,주간,L3,B조,0.016
2026-01-11,샤프트,야간,L3,B조,0.01990049751243781
2026-01-25,하우징,주간,L3,B조,0.019230769230769232
2026-01-15,브라켓,야간,L3,B조,0.037914691943127965
2026-01-18,하우징,주간,L3,B조,0.01875
2026-01-12,하우징,주간,L1,B조,0.00816326530612245
2026-01-27,브라켓,주간,L2,C조,0.03333333333333333
2026-01-04,기어,야간,L2,B조,0.024096385542168676
2026-01-28,브라켓,주간,L3,C조,0.03225806451612903
2026-01-07,하우징,야간,L2,C조,0.02074688796680498
2026-01-28,샤프트,주간,L3,C조,0.022988505747126436
2026-01-01,기어,야간,L1,B조,0.0410958904109589
2026-01-01,샤프트,주간,L3,C조,0.020491803278688523
2026-01-03,샤프트,주간,L2,C조,0.018018018018018018
2026-01-17,브라켓,야간,L3,B조,0.018867924528301886
2026-01-09,샤프트,야간,L3,B조,0.046511627906976744
2026-01-19,하우징,주간,L2,B조,0.023529411764705882
2026-01-26,브라켓,주간,L2,C조,0.03428571428571429
2026-01-01,기어,주간,L3,A조,0.015544041450777202
2026-01-17,기어,야간,L2,A조,0.02127659574468085
2026-01-23,하우징,야간,L3,C조,0.015151515151515152
2026-01-14,하우징,야간,L2,B조,0.031818181818181815
2026-01-29,샤프트,야간,L3,A조,0.019230769230769232
2026-01-21,샤프트,야간,L3,B조,0.016129032258064516
2026-01-02,하우징,주간,L2,C조,0.027972027972027972
2026-01-17,브라켓,주간,L3,A조,0.012269938650306749
2026-01-12,샤프트,야간,L3,A조,0.024193548387096774
2026-01-05,기어,주간,L3,B조,0.03428571428571429
2026-01-30,브라켓,주간,L1,A조,0.022123893805309734
2026-01-07,샤프트,야간,L3,B조,0.009708737864077669
2026-01-03,샤프트,야간,L2,A조,0.025210084033613446
2026-01-07,하우징,야간,L3,C조,0.025
2026-01-26,샤프트,주간,L3,A조,0.01744186046511628
2026-01-19,샤프트,야간,L3,B조,0.02564102564102564
2026-01-26,하우징,주간,L2,B조,0.009615384615384616
2026-01-15,하우징,주간,L2,A조,0.018518518518518517
2026-01-04,기어,야간,L3,A조,0.015037593984962405
2026-01-13,기어,야간,L3,B조,0.020833333333333332
2026-01-07,하우징,야간,L3,C조,0.0297029702970297
2026-01-18,하우징,야간,L3,B조,0.030927835051546393
2026-01-09,하우징,야간,L3,C조,0.017241379310344827
2026-01-31,하우징,주간,L3,B조,0.025
2026-01-12,하우징,주간,L2,C조,0.026143790849673203
2026-01-10,브라켓,야간,L3,C조,0.0228310502283105
2026-01-31,브라켓,야간,L3,B조,0.01764705882352941
2026-01-17,샤프트,주간,L3,A조,0.011695906432748537
2026-01-06,브라켓,주간,L3,A조,0.017857142857142856
2026-01-15,브라켓,주간,L3,C조,0.017857142857142856
2026-01-08,기어,주간,L3,B조,0.02358490566037736
2026-01-23,샤프트,야간,L3,B조,0.020512820512820513
2026-01-18,하우징,주간,L3,C조,0.011834319526627219
2026-01-23,기어,주간,L3,B조,0.021505376344086023
2026-01-30,하우징,야간,L3,A조,0.01904761904761905
2026-01-23,기어,주간,L1,A조,0.03418803418803419
2026-01-11,샤프트,주간,L3,B조,0.02586206896551724
2026-01-07,샤프트,주간,L2,A조,0.018691588785046728
2026-01-17,브라켓,주간,L3,B조,0.028368794326241134
2026-01-14,샤프트,주간,L2,A조,0.0196078431372549
2026-01-10,하우징,주간,L3,B조,0.011904761904761904
2026-01-26,샤프트,주간,L3,B조,0.018292682926829267
2026-01-29,기어,주간,L3,B조,0.02247191011235955
2026-01-12,기어,주간,L3,A조,0.03643724696356275
2026-01-22,샤프트,주간,L3,B조,0.02127659574468085
2026-01-31,하우징,야간,L3,B조,0.025210084033613446
2026-01-01,하우징,주간,L1,B조,0.023148148148148147
2026-01-12,샤프트,주간,L2,A조,0.012048192771084338
2026-01-23,기어,야간,L3,B조,0.023121387283236993
2026-01-16,하우징,주간,L2,A조,0.02040816326530612
2026-01-25,하우징,주간,L1,C조,0.02247191011235955
2026-01-15,기어,야간,L3,A조,0.03305785123966942
2026-01-02,하우징,주간,L3,B조,0.03076923076923077
2026-01-14,샤프트,주간,L1,B조,0.029556650246305417
2026-01-13,샤프트,야간,L2,C조,0.030303030303030304
2026-01-27,하우징,야간,L3,B조,0.03317535545023697
2026-01-05,하우징,주간,L3,B조,0.00975609756097561
2026-01-05,브라켓,주간,L1,B조,0.011363636363636364
2026-01-05,샤프트,주간,L2,C조,0.027972027972027972
2026-01-18,기어,야간,L3,A조,0.024390243902439025
2026-01-31,하우징,주간,L1,B조,0.016666666666666666
2026-01-20,샤프트,주간,L3,C조,0.017857142857142856
2026-01-26,기어,주간,L2,B조,0.022857142857142857
2026-01-27,하우징,야간,L1,B조,0.04878048780487805
2026-01-19,샤프트,주간,L3,B조,0.025477707006369428
2026-01-19,기어,주간,L3,B조,0.02564102564102564
2026-01-08,샤프트,주간,L2,B조,0.018292682926829267
2026-01-30,브라켓,야간,L3,B조,0.016304347826086956
2026-01-25,샤프트,주간,L1,B조,0.018433179723502304
2026-01-28,샤프트,야간,L3,B조,0.03614457831325301
2026-01-31,샤프트,주간,L2,A조,0.02575107296137339
2026-01-11,샤프트,주간,L2,B조,0.013761467889908258
2026-01-05,샤프트,주간,L3,A조,0.026490066225165563
2026-01-27,하우징,주간,L3,A조,0.023923444976076555
2026-01-15,샤프트,주간,L3,B조,0.01098901098901099
2026-01-30,샤프트,야간,L3,A조,0.022727272727272728
2026-01-22,샤프트,주간,L2,B조,0.01020408163265306
2026-01-08,기어,야간,L2,B조,0.026595744680851064
2026-01-11,샤프트,주간,L2,A조,0.035555555555555556
2026-01-19,하우징,주간,L3,C조,0.01098901098901099
2026-01-13,하우징,주간,L2,B조,0.025
2026-01-09,하우징,주간,L3,B조,0.019230769230769232
2026-01-07,샤프트,주간,L3,A조,0.03361344537815126
2026-01-21,브라켓,야간,L3,B조,0.026785714285714284
2026-01-02,하우징,야간,L3,A조,0.023668639053254437
2026-01-03,샤프트,야간,L3,C조,0.025510204081632654
2026-01-02,기어,야간,L2,B조,0.022222222222222223
2026-01-23,하우징,주간,L2,B조,0.008403361344537815
2026-01-01,기어,주간,L1,B조,0.016574585635359115
2026-01-14,기어,주간,L3,C조,0.01694915254237288
2026-01-04,하우징,야간,L2,B조,0.013333333333333334
2026-01-19,샤프트,주간,L2,B조,0.017045454545454544
2026-01-02,브라켓,주간,L3,B조,0.005154639175257732
2026-01-01,샤프트,야간,L3,A조,0.031746031746031744
2026-01-13,샤프트,주간,L3,B조,0.022222222222222223
2026-01-22,샤프트,야간,L3,B조,0.025974025974025976
2026-01-04,기어,주간,L3,C조,0.017699115044247787
2026-01-16,브라켓,야간,L2,A조,0.02247191011235955
2026-01-26,브라켓,야간,L3,A조,0.019867549668874173
2026-01-20,브라켓,야간,L3,A조,0.027210884353741496
2026-01-24,기어,주간,L3,C조,0.01639344262295082
2026-01-10,기어,주간,L3,B조,0.012875536480686695
2026-01-30,기어,주간,L1,B조,0.020100502512562814
2026-01-05,샤프트,주간,L1,A조,0.018518518518518517
2026-01-19,브라켓,주간,L1,A조,0.016853932584269662
2026-01-14,기어,주간,L2,B조,0.03375527426160337
2026-01-01,기어,주간,L1,B조,0.016736401673640166
2026-01-30,기어,주간,L3,B조,0.01904761904761905
2026-01-22,하우징,야간,L3,B조,0.02127659574468085
2026-01-08,샤프트,주간,L1,A조,0.012048192771084338
2026-01-02,하우징,주간,L3,A조,0.02040816326530612
2026-01-21,하우징,주간,L2,A조,0.0111731843575419
2026-01-17,브라켓,주간,L3,B조,0.024390243902439025
2026-01-02,샤프트,야간,L3,B조,0.017391304347826087
2026-01-31,샤프트,주간,L2,A조,0.00980392156862745
2026-01-23,기어,야간,L2,A조,0.017543859649122806
2026-01-15,브라켓,야간,L3,A조,0.03125
2026-01-08,브라켓,야간,L2,B조,0.04245283018867924
2026-01-09,하우징,야간,L3,B조,0.024390243902439025
2026-01-14,샤프트,야간,L3,B조,0.030927835051546393
2026-01-02,샤프트,주간,L2,A조,0.024096385542168676
2026-01-12,하우징,주간,L3,B조,0.031578947368421054
2026-01-07,샤프트,야간,L2,A조,0.037267080745341616
2026-01-04,기어,주간,L3,A조,0.016
2026-01-04,브라켓,주간,L3,B조,0.028846153846153848
2026-01-11,기어,주간,L3,B조,0.018072289156626505
2026-01-12,기어,주간,L3,A조,0.028846153846153848
2026-01-11,샤프트,주간,L3,A조,0.012048192771084338
2026-01-22,샤프트,주간,L3,B조,0.018691588785046728
2026-01-17,하우징,주간,L3,A조,0.0196078431372549
2026-01-06,기어,주간,L3,A조,0.015384615384615385
2026-01-31,샤프트,주간,L3,B조,0.023809523809523808
2026-01-23,샤프트,야간,L3,A조,0.03007518796992481
2026-01-15,샤프트,주간,L3,B조,0.015151515151515152
2026-01-02,하우징,야간,L1,C조,0.0273224043715847
2026-01-29,하우징,주간,L3,B조,0.00819672131147541
2026-01-24,기어,주간,L3,B조,0.020080321285140562
2026-01-15,기어,야간,L3,C조,0.01875
2026-01-06,샤프트,야간,L3,B조,0.04145077720207254
2026-01-04,기어,야간,L2,B조,0.02127659574468085
2026-01-09,샤프트,야간,L3,C조,0.020833333333333332
2026-01-08,브라켓,야간,L2,C조,0.012048192771084338
2026-01-07,샤프트,야간,L3,B조,0.028985507246376812
2026-01-13,기어,야간,L3,B조,0.019704433497536946
2026-01-02,샤프트,야간,L3,A조,0.020491803278688523
2026-01-11,하우징,주간,L3,B조,0.01834862385321101
2026-01-28,샤프트,주간,L2,A조,0.020833333333333332
2026-01-27,브라켓,주간,L3,A조,0.018018018018018018
2026-01-01,샤프트,주간,L3,A조,0.022727272727272728
2026-01-22,브라켓,야간,L2,A조,0.02631578947368421
2026-01-31,하우징,주간,L3,B조,0.016853932584269662
2026-01-18,샤프트,주간,L3,C조,0.03225806451612903
2026-01-13,샤프트,야간,L2,B조,0.02857142857142857
2026-01-16,기어,주간,L3,A조,0.03804347826086957
2026-01-07,브라켓,야간,L3,B조,0.025974025974025976
2026-01-13,브라켓,주간,L2,B조,0.012345679012345678
2026-01-30,샤프트,주간,L3,A조,0.0189873417721519
2026-01-19,기어,주간,L3,C조,0.02040816326530612
2026-01-14,샤프트,주간,L3,A조,0.00546448087431694
2026-01-04,샤프트,주간,L2,A조,0.018779342723004695
2026-01-29,하우징,주간,L3,C조,0.026490066225165563
2026-01-06,기어,주간,L2,B조,0.02631578947368421
2026-01-23,샤프트,주간,L2,A조,0.008547008547008548
2026-01-10,브라켓,야간,L3,A조,0.03825136612021858
2026-01-09,하우징,주간,L3,C조,0.015384615384615385
2026-01-06,하우징,주간,L3,B조,0.0125
2026-01-12,샤프트,주간,L3,A조,0.0182648401826484
2026-01-21,브라켓,야간,L2,B조,0.016129032258064516
2026-01-13,하우징,야간,L2,C조,0.016129032258064516
2026-01-01,기어,야간,L3,B조,0.0234375
2026-01-09,샤프트,야간,L2,C조,0.02702702702702703
2026-01-05,브라켓,주간,L2,C조,0.012195121951219513
2026-01-13,기어,야간,L3,A조,0.028846153846153848
2026-02-09,샤프트,주간,L2,A조,0.017341040462427744
2026-02-10,하우징,주간,L3,B조,0.02727272727272727
2026-02-27,샤프트,야간,L3,A조,0.032467532467532464
2026-02-20,기어,주간,L3,B조,0.02145922746781116
2026-02-19,샤프트,야간,L3,B조,0.03597122302158273
2026-02-13,기어,야간,L3,B조,0.01818181818181818
2026-02-15,샤프트,주간,L3,C조,0.015384615384615385
2026-02-25,기어,야간,L1,A조,0.027777777777777776
2026-02-19,하우징,주간,L3,A조,0.022727272727272728
2026-02-23,샤프트,주간,L3,B조,0.018691588785046728
2026-02-02,하우징,주간,L1,B조,0.024390243902439025
2026-02-25,하우징,주간,L3,B조,0.015544041450777202
2026-02-27,기어,주간,L2,B조,0.022058823529411766
2026-02-19,하우징,주간,L3,B조,0.022026431718061675
2026-02-27,기어,야간,L3,A조,0.022900763358778626
2026-02-16,하우징,주간,L2,A조,0.015267175572519083
2026-02-08,하우징,야간,L3,B조,0.037037037037037035
2026-02-17,하우징,주간,L2,B조,0.035897435897435895
2026-02-18,샤프트,야간,L3,B조,0.02
2026-02-05,하우징,주간,L3,B조,0.009615384615384616
2026-02-06,샤프트,주간,L3,C조,0.02358490566037736
2026-02-09,기어,주간,L3,A조,0.017391304347826087
2026-02-16,샤프트,야간,L2,B조,0.010309278350515464
2026-02-05,샤프트,야간,L2,B조,0.03225806451612903
2026-02-22,하우징,주간,L2,C조,0.013605442176870748
2026-02-04,브라켓,야간,L3,C조,0.023529411764705882
2026-02-27,샤프트,야간,L2,C조,0.01809954751131222
2026-02-19,기어,주간,L2,C조,0.020202020202020204
2026-02-10,하우징,주간,L2,B조,0.02702702702702703
2026-02-11,브라켓,야간,L3,A조,0.02631578947368421
2026-02-20,하우징,야간,L2,B조,0.023076923076923078
2026-02-03,샤프트,주간,L1,C조,0.022988505747126436
2026-02-21,샤프트,주간,L3,C조,0.012448132780082987
2026-02-16,하우징,주간,L3,B조,0.029288702928870293
2026-02-07,샤프트,야간,L3,C조,0.009900990099009901
2026-02-26,브라켓,주간,L3,C조,0.008849557522123894
2026-02-18,브라켓,주간,L3,B조,0.030434782608695653
2026-02-05,브라켓,주간,L3,C조,0.03333333333333333
2026-02-19,샤프트,야간,L1,B조,0.022222222222222223
2026-02-12,하우징,야간,L1,B조,0.02912621359223301
2026-02-22,하우징,주간,L3,B조,0.02
2026-02-14,샤프트,주간,L3,A조,0.017241379310344827
2026-02-28,샤프트,야간,L3,C조,0.016042780748663103
2026-02-26,샤프트,주간,L2,C조,0.03773584905660377
2026-02-02,기어,주간,L1,C조,0.02112676056338028
2026-02-12,브라켓,야간,L2,B조,0.03225806451612903
2026-02-06,브라켓,주간,L3,C조,0.029411764705882353
2026-02-13,샤프트,주간,L3,B조,0.029850746268656716
2026-02-05,기어,주간,L2,A조,0.008771929824561403
2026-02-15,샤프트,야간,L3,B조,0.03669724770642202
2026-02-05,샤프트,야간,L3,B조,0.028409090909090908
2026-02-18,샤프트,주간,L3,B조,0.01875
2026-02-13,하우징,야간,L3,B조,0.0196078431372549
2026-02-28,하우징,야간,L3,C조,0.021739130434782608
2026-02-25,브라켓,야간,L1,B조,0.027906976744186046
2026-02-17,브라켓,주간,L3,A조,0.020491803278688523
2026-02-13,샤프트,주간,L3,A조,0.0223463687150838
2026-02-21,하우징,야간,L3,A조,0.03488372093023256
2026-02-19,샤프트,주간,L3,A조,0.018633540372670808
2026-02-04,기어,주간,L1,B조,0.015748031496062992
2026-02-11,기어,주간,L2,B조,0.011235955056179775
2026-02-28,샤프트,야간,L2,B조,0.019230769230769232
2026-02-09,샤프트,주간,L3,A조,0.03048780487804878
2026-02-01,샤프트,주간,L2,B조,0.013157894736842105
2026-02-24,샤프트,야간,L3,C조,0.011428571428571429
2026-02-27,브라켓,주간,L3,B조,0.025380710659898477
2026-02-19,샤프트,주간,L3,C조,0.024
2026-02-18,기어,주간,L3,A조,0.03125
2026-02-10,브라켓,주간,L3,C조,0.02564102564102564
2026-02-11,기어,야간,L3,B조,0.017699115044247787
2026-02-26,기어,주간,L2,B조,0.03225806451612903
2026-02-25,브라켓,야간,L3,B조,0.022222222222222223
2026-02-14,샤프트,주간,L3,C조,0.008695652173913044
2026-02-09,샤프트,주간,L3,B조,0.02
2026-02-06,기어,주간,L2,C조,0.024390243902439025
2026-02-01,기어,주간,L3,A조,0.01764705882352941
2026-02-14,하우징,주간,L3,C조,0.009523809523809525
2026-02-16,샤프트,주간,L3,C조,0.013392857142857142
2026-02-19,하우징,야간,L3,B조,0.01652892561983471
2026-02-23,하우징,주간,L3,B조,0.02577319587628866
2026-02-11,브라켓,야간,L2,C조,0.021052631578947368
2026-02-05,샤프트,주간,L3,A조,0.00904977375565611
2026-02-24,샤프트,주간,L3,B조,0.019704433497536946
2026-02-22,브라켓,야간,L3,B조,0.02512562814070352
2026-02-15,하우징,주간,L1,C조,0.011363636363636364
2026-02-02,샤프트,주간,L3,A조,0.012552301255230125
2026-02-14,샤프트,주간,L3,B조,0.009900990099009901
2026-02-18,하우징,주간,L2,B조,0.024390243902439025
2026-02-25,기어,야간,L3,B조,0.025806451612903226
2026-02-15,기어,주간,L2,A조,0.023255813953488372
2026-02-13,브라켓,야간,L3,B조,0.027777777777777776
2026-02-11,샤프트,주간,L2,B조,0.022727272727272728
2026-02-12,샤프트,주간,L3,A조,0.025477707006369428
2026-02-01,하우징,주간,L3,B조,0.014388489208633094
2026-02-03,브라켓,주간,L3,A조,0.02631578947368421
2026-02-22,샤프트,야간,L2,B조,0.02976190476190476
2026-02-11,하우징,야간,L2,B조,0.014423076923076924
2026-02-24,샤프트,주간,L2,A조,0.018691588785046728
2026-02-12,샤프트,주간,L3,C조,0.024896265560165973
2026-02-28,브라켓,야간,L3,A조,0.03424657534246575
2026-02-06,샤프트,주간,L3,C조,0.02877697841726619
2026-02-06,샤프트,주간,L3,B조,0.011560693641618497
2026-02-17,하우징,주간,L3,B조,0.028037383177570093
2026-02-23,기어,주간,L3,A조,0.01834862385321101
2026-02-05,기어,주간,L3,B조,0.024193548387096774
2026-02-15,하우징,주간,L2,C조,0.02109704641350211
2026-02-07,샤프트,야간,L3,B조,0.01904761904761905
2026-02-21,하우징,주간,L3,C조,0.022123893805309734
2026-02-16,기어,야간,L3,A조,0.027210884353741496
2026-02-19,샤프트,야간,L1,A조,0.02185792349726776
2026-02-08,하우징,주간,L3,B조,0.017543859649122806
2026-02-09,기어,주간,L3,B조,0.009900990099009901
2026-02-18,브라켓,주간,L3,C조,0.02158273381294964
2026-02-10,브라켓,야간,L3,B조,0.024896265560165973
2026-02-20,브라켓,주간,L3,B조,0.009523809523809525
2026-02-05,기어,야간,L3,A조,0.020618556701030927
2026-02-09,샤프트,야간,L3,B조,0.023809523809523808
2026-02-03,브라켓,야간,L2,A조,0.023809523809523808
2026-02-03,기어,주간,L3,B조,0.016129032258064516
