생산ID,생산일자,설비ID,작업자ID,제품유형,교대,생산수량,온도,압력,진동,사이클타임,불량수량
MAR-00102,2026-03-03,M08,OP023,샤프트,야간,100,48.0,116.7,2.58,44.8,3
MAR-00103,2026-03-14,M07,OP010,샤프트,야간,218,56.6,110.5,2.75,48.5,5
MAR-00104,2026-03-03,M09,OP016,하우징,주간,221,51.8,103.9,3.07,54.7,4
MAR-00105,2026-03-14,M01,OP020,샤프트,주간,145,49.1,101.6,4.09,50.0,4
MAR-00106,2026-03-09,M01,OP005,하우징,주간,87,62.6,114.3,2.43,58.0,2
MAR-00107,2026-03-15,M08,OP028,하우징,주간,230,68.0,118.6,5.03,55.9,8
MAR-00108,2026-03-22,M11,OP005,기어,야간,244,66.7,104.2,2.45,58.5,8
MAR-00109,2026-03-09,M12,OP030,기어,야간,144,58.9,129.9,2.07,57.6,3
MAR-00110,2026-03-02,M07,OP009,하우징,주간,111,53.4,102.6,4.55,58.9,3
MAR-00111,2026-03-06,M05,OP013,기어,야간,126,54.6,88.3,10.1,39.9,4
MAR-00112,2026-03-23,M06,OP008,브라켓,주간,103,57.4,84.3,3.05,52.5,3
MAR-00113,2026-03-18,M07,OP017,샤프트,주간,183,52.5,84.7,3.51,56.5,4
MAR-00114,2026-03-31,M08,OP001,브라켓,야간,168,62.9,100.0,3.53,57.8,2
MAR-00115,2026-03-28,M03,OP006,샤프트,주간,140,42.8,102.2,3.31,42.6,1
MAR-00116,2026-03-05,M05,OP016,샤프트,주간,190,53.2,113.2,2.16,52.6,2
MAR-00117,2026-03-23,M07,OP021,하우징,야간,185,59.8,104.7,1.21,48.5,5
MAR-00118,2026-03-03,M11,OP029,샤프트,주간,81,49.9,115.1,2.52,60.9,1
MAR-00119,2026-03-03,M10,OP026,샤프트,주간,149,53.6,105.5,4.65,38.3,5
MAR-00120,2026-03-25,M10,OP028,샤프트,주간,226,58.6,105.2,4.68,42.6,7
MAR-00121,2026-03-13,M03,OP024,하우징,주간,215,64.1,98.1,2.99,35.3,6
MAR-00122,2026-03-31,M05,OP024,하우징,주간,225,47.2,122.1,2.43,49.0,5
MAR-00123,2026-03-01,M07,OP011,샤프트,주간,242,46.8,86.6,3.42,63.8,4
MAR-00124,2026-03-16,M12,OP028,기어,주간,90,49.3,108.6,3.55,47.7,2
MAR-00125,2026-03-10,M05,OP029,샤프트,주간,125,45.8,102.8,8.5,48.7,1
MAR-00126,2026-03-31,M12,OP016,브라켓,야간,158,46.2,114.4,1.18,51.9,4
MAR-00127,2026-03-21,M09,OP004,샤프트,야간,166,49.2,104.8,5.73,47.2,6
MAR-00128,2026-03-24,M08,OP002,하우징,야간,213,62.4,105.1,4.11,50.6,8
MAR-00129,2026-03-09,M09,OP015,기어,야간,203,53.1,101.8,3.04,50.7,3
MAR-00130,2026-03-28,M10,OP020,하우징,야간,200,55.2,121.7,2.63,42.1,4
MAR-00131,2026-03-27,M09,OP017,브라켓,주간,106,49.3,105.0,3.99,47.3,2
MAR-00132,2026-03-25,M09,OP027,기어,주간,195,58.8,128.6,3.6,53.2,4
MAR-00133,2026-03-15,M05,OP017,하우징,주간,215,66.3,108.3,3.27,54.5,5
MAR-00134,2026-03-29,M06,OP020,기어,주간,207,49.7,105.3,3.57,57.1,5
MAR-00135,2026-03-21,M08,OP023,하우징,야간,179,65.3,103.3,3.11,50.3,4
MAR-00136,2026-03-03,M11,OP027,기어,주간,95,57.2,111.8,3.52,50.5,2
MAR-00137,2026-03-28,M08,OP019,샤프트,야간,105,55.1,97.9,3.78,53.3,2
MAR-00138,2026-03-01,M12,OP017,샤프트,주간,206,57.4,106.7,3.47,43.8,4
MAR-00139,2026-03-22,M09,OP003,샤프트,주간,227,57.3,105.1,3.43,43.5,5
MAR-00140,2026-03-08,M05,OP020,브라켓,주간,220,66.1,108.9,4.31,47.1,7
MAR-00141,2026-03-28,M07,OP006,하우징,주간,152,58.1,109.2,1.92,39.1,3
MAR-00142,2026-03-23,M08,OP012,샤프트,주간,179,58.2,109.8,2.56,50.8,4
MAR-00143,2026-03-26,M11,OP016,기어,야간,110,52.5,106.1,3.22,55.3,3
MAR-00144,2026-03-22,M04,OP003,하우징,주간,180,60.0,123.8,2.62,43.0,5
MAR-00145,2026-03-18,M03,OP021,기어,야간,113,49.3,110.1,2.88,51.0,4
MAR-00146,2026-03-27,M03,OP009,기어,야간,215,55.7,136.3,4.23,43.6,9
MAR-00147,2026-03-10,M01,OP016,하우징,주간,213,72.3,105.6,3.08,40.9,3
MAR-00148,2026-03-17,M09,OP011,샤프트,야간,88,40.0,116.5,1.74,62.4,2
MAR-00149,2026-03-10,M12,OP011,기어,주간,239,56.4,96.3,2.86,41.0,5
MAR-00150,2026-03-04,M08,OP012,샤프트,주간,215,56.6,121.8,3.25,39.0,5
MAR-00151,2026-03-28,M01,OP002,샤프트,주간,144,53.6,96.5,3.23,49.5,4
MAR-00152,2026-03-16,M05,OP006,하우징,야간,156,53.8,110.5,3.64,49.9,2
MAR-00153,2026-03-02,M11,OP024,하우징,주간,93,,101.8,3.58,52.7,3
MAR-00154,2026-03-26,M01,OP004,브라켓,주간,239,53.5,110.4,3.09,62.0,7
MAR-00155,2026-03-30,M08,OP015,샤프트,야간,97,56.3,102.2,2.25,42.6,3
MAR-00156,2026-03-21,M06,OP005,하우징,주간,236,52.1,95.5,2.85,44.0,5
MAR-00157,2026-03-11,M12,OP017,브라켓,야간,191,67.1,101.7,2.7,59.3,4
MAR-00158,2026-03-27,M07,OP020,하우징,주간,236,53.5,123.5,2.97,54.6,4
MAR-00159,2026-03-23,M07,OP015,브라켓,주간,143,58.4,110.6,3.75,53.6,3
MAR-00160,2026-03-09,M09,OP024,브라켓,주간,232,51.0,89.5,3.52,43.9,5
MAR-00161,2026-03-11,M10,OP008,하우징,주간,152,60.6,118.1,3.86,55.9,3
MAR-00162,2026-03-31,M07,OP017,브라켓,주간,139,59.4,94.3,2.89,53.6,3
MAR-00163,2026-03-30,M09,OP009,하우징,야간,137,57.5,113.9,4.41,49.3,6
MAR-00164,2026-03-21,M10,OP016,기어,주간,241,48.8,111.6,3.74,43.9,5
MAR-00165,2026-03-02,M07,OP002,브라켓,주간,159,50.5,112.4,3.29,48.7,2
MAR-00166,2026-03-08,M09,OP009,브라켓,야간,161,65.1,127.2,3.68,59.5,5
MAR-00167,2026-03-11,M05,OP022,샤프트,야간,189,50.4,95.1,2.66,40.3,7
MAR-00168,2026-03-17,M05,OP024,기어,야간,174,58.8,112.3,1.51,42.4,4
MAR-00169,2026-03-27,M01,OP009,샤프트,주간,171,49.3,120.1,2.71,43.6,5
MAR-00170,2026-03-27,M09,OP008,브라켓,야간,144,61.1,97.3,3.8,45.1,3
MAR-00171,2026-03-09,M04,OP009,샤프트,주간,107,50.9,96.1,3.26,47.9,2
MAR-00172,2026-03-04,M10,OP009,기어,야간,249,49.2,101.6,3.09,54.7,5
MAR-00173,2026-03-09,M12,OP030,기어,주간,163,50.7,108.9,2.52,51.2,4
MAR-00174,2026-03-08,M11,OP020,샤프트,주간,245,51.7,88.1,1.64,48.4,7
MAR-00175,2026-03-28,M04,OP012,브라켓,야간,158,57.4,111.6,4.34,49.9,6
MAR-00176,2026-03-01,M08,OP014,기어,야간,181,55.4,88.1,3.03,52.4,6
MAR-00177,2026-03-26,M10,OP016,샤프트,야간,172,48.4,120.5,2.86,36.2,6
MAR-00178,2026-03-21,M07,OP017,샤프트,주간,244,54.8,111.2,2.66,55.5,4
MAR-00179,2026-03-04,M07,OP012,하우징,야간,98,48.1,128.0,4.2,42.2,4
MAR-00180,2026-03-22,M06,OP030,하우징,주간,167,58.9,113.0,3.91,44.9,4
MAR-00181,2026-03-18,M04,OP009,기어,주간,106,60.0,101.3,2.43,50.4,1
MAR-00182,2026-03-01,M07,OP013,기어,주간,227,54.9,95.4,4.13,47.5,7
MAR-00183,2026-03-07,M12,OP001,브라켓,주간,170,56.6,107.9,3.08,51.4,5
MAR-00184,2026-03-11,M03,OP015,하우징,주간,236,65.5,104.6,2.71,49.0,4
MAR-00185,2026-03-07,M01,OP026,하우징,야간,126,54.1,119.2,2.97,46.0,4
MAR-00186,2026-03-18,M01,OP030,기어,주간,107,49.3,93.9,2.57,58.7,2
MAR-00187,2026-03-20,M07,OP015,브라켓,야간,186,58.5,129.3,2.14,53.0,4
MAR-00188,2026-03-06,M04,OP005,하우징,야간,104,48.2,120.3,3.82,50.1,3
MAR-00189,2026-03-04,M06,OP022,기어,주간,143,53.7,102.6,3.02,52.8,4
MAR-00190,2026-03-21,M12,OP020,브라켓,야간,133,51.4,126.6,3.69,43.1,4
MAR-00191,2026-03-15,M01,OP029,브라켓,주간,117,50.8,95.6,3.43,63.2,3
MAR-00192,2026-03-09,M03,OP016,하우징,야간,102,53.5,107.5,3.64,40.4,3
MAR-00193,2026-03-08,M03,OP001,하우징,주간,191,60.4,89.7,1.56,48.8,3
MAR-00194,2026-03-02,M06,OP028,기어,주간,208,61.6,127.2,2.51,46.0,2
MAR-00195,2026-03-27,M09,OP021,기어,주간,146,60.6,85.2,3.66,45.7,4
MAR-00196,2026-03-27,M03,OP025,샤프트,야간,127,57.0,87.7,2.18,44.8,3
MAR-00197,2026-03-18,M02,OP004,하우징,주간,106,53.5,97.4,3.5,42.6,2
MAR-00198,2026-03-11,M02,OP014,기어,야간,195,40.9,120.9,2.09,56.3,4
MAR-00199,2026-03-07,M10,OP014,기어,주간,217,57.2,116.5,3.21,39.6,4
MAR-00200,2026-03-10,M01,OP009,브라켓,야간,173,41.3,106.5,4.49,54.9,5
MAR-00201,2026-03-29,M08,OP026,샤프트,주간,153,,117.2,3.82,52.5,3
MAR-00202,2026-03-03,M07,OP006,브라켓,주간,190,54.0,103.6,1.72,45.3,3
MAR-00203,2026-03-26,M02,OP003,샤프트,주간,235,56.6,110.1,3.88,51.7,3
MAR-00204,2026-03-10,M07,OP008,샤프트,주간,248,52.3,124.8,4.66,46.9,7
MAR-00205,2026-03-09,M04,OP030,샤프트,야간,112,64.2,102.0,5.44,40.3,2
MAR-00206,2026-03-26,M07,OP004,기어,야간,161,57.8,95.8,3.58,40.4,3
MAR-00207,2026-03-30,M02,OP018,기어,주간,228,53.5,110.6,2.11,52.6,5
MAR-00208,2026-03-31,M09,OP006,기어,주간,187,63.3,113.9,3.55,52.2,4
MAR-00209,2026-03-09,M10,OP012,하우징,주간,218,64.4,106.3,4.48,49.7,5
MAR-00210,2026-03-19,M01,OP017,기어,야간,249,58.1,117.0,3.05,45.3,7
MAR-00211,2026-03-10,M07,OP001,샤프트,야간,97,50.3,102.6,4.03,46.7,3
MAR-00212,2026-03-06,M08,OP008,기어,야간,184,51.7,106.5,2.53,45.7,5
MAR-00213,2026-03-12,M01,OP018,샤프트,야간,170,46.3,109.5,3.5,35.8,4
MAR-00214,2026-03-02,M09,OP001,샤프트,주간,128,54.7,108.4,1.21,48.4,2
MAR-00215,2026-03-06,M07,OP015,샤프트,주간,191,48.7,124.4,2.44,51.7,3
MAR-00216,2026-03-19,M04,OP019,하우징,야간,97,53.0,109.4,3.2,48.5,4
MAR-00217,2026-03-22,M06,OP007,하우징,주간,164,56.6,101.4,2.91,60.4,2
MAR-00218,2026-03-09,M09,OP005,브라켓,주간,150,43.1,111.3,2.16,41.0,3
MAR-00219,2026-03-18,M08,OP015,하우징,주간,146,47.4,117.1,2.8,43.4,3
MAR-00220,2026-03-24,M10,OP022,기어,야간,184,52.0,114.3,3.46,48.9,3
MAR-00221,2026-03-28,M01,OP001,기어,야간,240,54.7,113.6,3.13,49.7,3
MAR-00222,2026-03-18,M10,OP011,샤프트,야간,241,52.0,87.0,3.25,34.7,5
MAR-00223,2026-03-08,M01,OP030,하우징,주간,199,53.4,75.1,3.79,52.2,4
MAR-00224,2026-03-23,M08,OP011,샤프트,주간,136,50.8,120.3,2.93,49.7,2
MAR-00225,2026-03-06,M05,OP010,샤프트,주간,244,46.3,110.3,4.29,33.2,7
MAR-00226,2026-03-05,M01,OP023,브라켓,야간,249,51.8,104.7,2.41,47.2,7
MAR-00227,2026-03-12,M09,OP015,샤프트,주간,223,53.7,113.3,4.74,42.3,6
MAR-00228,2026-03-11,M07,OP012,샤프트,야간,228,53.1,128.1,4.09,44.8,8
MAR-00229,2026-03-05,M08,OP024,브라켓,주간,218,55.7,122.0,2.92,38.6,2
MAR-00230,2026-03-02,M05,OP001,기어,야간,209,57.5,116.5,2.97,50.9,5
MAR-00231,2026-03-30,M04,OP022,기어,야간,203,59.1,94.4,3.37,60.3,5
MAR-00232,2026-03-21,M08,OP012,샤프트,주간,188,51.2,95.9,3.68,49.9,4
MAR-00233,2026-03-23,M03,OP027,기어,야간,189,45.5,76.4,4.08,32.9,6
MAR-00234,2026-03-03,M10,OP022,브라켓,주간,146,62.6,,2.13,50.0,2
MAR-00235,2026-03-25,M09,OP029,하우징,야간,230,57.3,118.3,3.55,46.6,4
MAR-00236,2026-03-12,M12,OP004,기어,야간,187,49.3,119.3,1.51,40.3,4
MAR-00237,2026-03-24,M01,OP006,기어,주간,184,56.7,113.1,3.06,50.5,5
MAR-00238,2026-03-16,M08,OP028,기어,주간,206,61.4,103.2,4.36,54.2,6
MAR-00239,2026-03-08,M07,OP012,하우징,야간,92,65.4,98.2,2.07,43.3,1
MAR-00240,2026-03-09,M11,OP025,샤프트,야간,236,56.5,95.1,1.92,36.5,5
MAR-00241,2026-03-05,M06,OP021,샤프트,야간,179,61.4,103.0,3.38,33.9,3
MAR-00242,2026-03-26,M12,OP015,하우징,야간,240,47.7,93.3,4.31,43.3,7
MAR-00243,2026-03-14,M03,OP002,브라켓,주간,97,54.8,126.1,3.46,46.9,2
MAR-00244,2026-03-25,M11,OP003,브라켓,주간,119,53.0,89.4,1.68,44.4,1
MAR-00245,2026-03-26,M07,OP022,브라켓,주간,241,57.1,102.6,1.85,43.2,5
MAR-00246,2026-03-06,M12,OP003,기어,주간,197,64.7,81.8,3.28,52.0,4
MAR-00247,2026-03-11,M03,OP001,하우징,주간,189,56.5,108.6,2.26,51.2,3
MAR-00248,2026-03-04,M04,OP007,브라켓,야간,148,49.4,105.0,3.31,49.4,4
MAR-00249,2026-03-01,M07,OP028,샤프트,주간,174,47.4,100.7,3.36,53.7,2
MAR-00250,2026-03-31,M07,OP019,기어,주간,172,64.9,93.8,2.81,43.4,4
MAR-00251,2026-03-21,M02,OP022,샤프트,야간,113,58.1,105.0,4.65,40.3,4
MAR-00252,2026-03-15,M08,OP020,브라켓,야간,176,57.7,98.5,3.67,44.3,4
MAR-00253,2026-03-07,M05,OP017,브라켓,야간,167,52.9,103.4,4.17,43.9,6
MAR-00254,2026-03-19,M02,OP008,하우징,주간,133,56.6,128.5,3.94,33.6,3
MAR-00255,2026-03-17,M07,OP013,샤프트,야간,138,49.1,107.1,3.08,44.2,4
MAR-00256,2026-03-07,M09,OP017,브라켓,주간,210,57.3,111.4,3.04,55.7,0
MAR-00257,2026-03-01,M01,OP030,샤프트,주간,194,48.0,99.4,2.96,53.6,4
MAR-00258,2026-03-15,M12,OP027,샤프트,야간,159,52.8,95.6,3.74,51.7,2
MAR-00259,2026-03-16,M08,OP023,하우징,주간,182,51.1,104.7,2.68,48.9,3
MAR-00260,2026-03-25,M04,OP025,하우징,야간,121,35.5,135.0,4.58,58.1,4
MAR-00261,2026-03-13,M10,OP025,브라켓,주간,164,52.9,101.6,,40.6,3
MAR-00262,2026-03-04,M11,OP021,기어,주간,175,49.6,109.3,3.37,41.2,4
MAR-00263,2026-03-28,M12,OP025,기어,주간,122,53.7,95.1,3.02,55.9,3
MAR-00264,2026-03-13,M10,OP003,기어,주간,108,55.0,71.9,2.84,48.2,1
MAR-00265,2026-03-23,M03,OP001,샤프트,주간,169,65.6,95.5,4.94,43.3,4
MAR-00266,2026-03-02,M02,OP014,브라켓,주간,239,56.8,133.6,2.85,51.9,4
MAR-00267,2026-03-02,M03,OP002,기어,주간,158,57.0,112.1,2.96,44.9,1
MAR-00268,2026-03-01,M11,OP011,샤프트,야간,233,58.0,124.7,2.67,42.1,5
MAR-00269,2026-03-25,M04,OP006,기어,주간,224,60.2,100.8,3.23,41.9,6
MAR-00270,2026-03-08,M04,OP029,하우징,야간,206,57.7,76.7,3.12,50.3,3
MAR-00271,2026-03-25,M11,OP020,브라켓,야간,232,56.7,91.7,2.3,49.4,5
MAR-00272,2026-03-30,M03,OP002,샤프트,주간,149,59.3,109.8,2.86,58.6,2
MAR-00273,2026-03-21,M05,OP019,샤프트,주간,209,40.4,107.9,3.69,46.0,6
MAR-00274,2026-03-31,M04,OP022,브라켓,야간,104,67.5,104.9,4.02,45.8,3
MAR-00275,2026-03-29,M04,OP010,기어,야간,134,64.5,98.6,3.22,58.1,3
MAR-00276,2026-03-23,M08,OP027,기어,주간,176,56.3,116.3,3.25,54.9,2
MAR-00277,2026-03-25,M09,OP030,샤프트,야간,86,46.5,99.0,2.91,49.0,2
MAR-00278,2026-03-19,M04,OP030,브라켓,주간,210,62.3,108.7,2.8,37.1,4
MAR-00279,2026-03-07,M01,OP003,하우징,주간,237,50.8,107.3,2.46,42.3,3
MAR-00280,2026-03-04,M08,OP014,샤프트,주간,97,58.2,100.6,1.95,40.6,2
MAR-00281,2026-03-12,M07,OP024,샤프트,주간,248,47.3,94.4,2.64,48.3,5
MAR-00282,2026-03-15,M08,OP014,샤프트,주간,94,68.4,99.9,3.92,44.4,2
MAR-00283,2026-03-11,M06,OP015,샤프트,주간,101,46.3,127.5,2.86,59.2,2
MAR-00284,2026-03-04,M10,OP010,샤프트,주간,209,55.4,118.3,2.92,37.0,4
MAR-00285,2026-03-16,M08,OP013,샤프트,주간,196,42.3,117.2,2.91,39.9,3
MAR-00286,2026-03-16,M10,OP021,샤프트,주간,239,54.8,95.6,4.2,49.7,9
MAR-00287,2026-03-30,M09,OP001,기어,야간,152,52.4,87.7,2.46,51.7,4
MAR-00288,2026-03-30,M06,OP024,기어,야간,177,61.8,118.2,3.42,29.9,4
