주문ID,주문일자,고객ID,상품ID,수량,할인율,결제수단,판매채널,환불여부
Q1-00036,2026-03-13,2004,3033,2,0.1,카드,웹,정상
Q1-00037,2026-02-10,2053,3040,1,0.0,간편결제,웹,정상
Q1-00038,2026-01-06,2033,3022,4,0.05,간편결제,웹,정상
Q1-00039,2026-01-18,2080,3051,3,0.0,간편결제,웹,환불
Q1-00040,2026-03-03,2048,3050,2,0.1,계좌이체,웹,정상
Q1-00041,2026-01-18,2058,3045,2,0.0,간편결제,모바일앱,정상
Q1-00042,2026-01-25,2091,3055,5,0.1,간편결제,웹,정상
Q1-00043,2026-02-18,2090,3022,3,0.2,카드,오프라인,정상
Q1-00044,2026-01-23,2150,3007,1,0.0,계좌이체,웹,정상
Q1-00045,2026-01-12,2077,3027,2,0.0,간편결제,웹,정상
Q1-00046,2026-02-26,2091,3042,1,0.1,카드,모바일앱,정상
Q1-00047,2026-03-04,2109,3043,4,0.0,간편결제,모바일앱,정상
Q1-00048,2026-03-07,2028,3022,5,0.0,계좌이체,모바일앱,정상
Q1-00049,2026-03-26,2107,3017,5,0.0,계좌이체,모바일앱,환불
Q1-00050,2026-01-12,2138,3025,4,0.0,카드,웹,정상
Q1-00051,2026-02-08,2051,3045,4,0.1,간편결제,웹,정상
Q1-00052,2026-01-22,2029,3004,3,0.05,간편결제,모바일앱,정상
Q1-00053,2026-03-23,2056,3019,4,0.0,카드,모바일앱,정상
Q1-00054,2026-02-18,2045,3013,1,0.05,카드,모바일앱,정상
Q1-00055,2026-01-09,2094,3045,3,0.0,카드,웹,정상
Q1-00056,2026-03-04,2139,3026,3,0.0,카드,모바일앱,정상
Q1-00057,2026-01-04,2096,3005,1,0.1,무통장,모바일앱,정상
Q1-00058,2026-01-25,2021,3015,3,0.0,계좌이체,웹,정상
Q1-00059,2026-03-06,2051,3003,4,0.05,카드,웹,정상
Q1-00060,2026-02-15,2111,3027,2,0.2,카드,모바일앱,정상
Q1-00061,2026-03-10,2053,3055,3,0.05,무통장,모바일앱,정상
Q1-00062,2026-02-21,2094,3032,2,0.05,카드,모바일앱,정상
Q1-00063,2026-03-17,2112,3048,2,0.0,간편결제,모바일앱,정상
Q1-00064,2026-02-20,2053,3041,1,0.0,카드,모바일앱,정상
Q1-00065,2026-01-06,2104,3049,2,0.0,카드,웹,정상
Q1-00066,2026-01-07,2064,3018,5,0.1,간편결제,모바일앱,정상
Q1-00067,2026-03-11,2022,3053,5,0.15,카드,웹,환불
Q1-00068,2026-01-04,2060,3014,4,0.0,간편결제,모바일앱,정상
Q1-00069,2026-02-03,2071,3025,4,0.0,카드,웹,정상
Q1-00070,2026-01-02,2001,3038,4,0.0,간편결제,웹,정상
Q1-00071,2026-01-28,2143,3016,3,0.05,간편결제,모바일앱,정상
Q1-00072,2026-02-23,2085,3015,3,0.1,간편결제,모바일앱,정상
Q1-00073,2026-01-16,2006,3008,4,0.1,카드,모바일앱,정상
Q1-00074,2026-02-11,2139,3001,4,0.2,간편결제,모바일앱,환불
Q1-00075,2026-03-31,2137,3028,3,0.0,무통장,오프라인,정상
Q1-00076,2026-01-07,2002,3055,3,0.1,카드,모바일앱,정상
Q1-00077,2026-01-06,2027,3013,3,0.05,카드,모바일앱,정상
Q1-00078,2026-01-25,2059,3025,2,0.0,간편결제,모바일앱,정상
Q1-00079,2026-03-16,2082,3052,2,0.2,카드,모바일앱,정상
Q1-00080,2026-02-06,2117,3043,1,0.0,간편결제,모바일앱,정상
Q1-00081,2026-02-27,2068,3001,3,0.1,간편결제,모바일앱,정상
Q1-00082,2026-01-04,2098,3028,4,0.1,카드,웹,정상
Q1-00083,2026-03-08,2002,3008,4,0.2,계좌이체,모바일앱,정상
Q1-00084,2026-01-07,2106,3014,5,0.05,계좌이체,웹,정상
Q1-00085,2026-03-06,2147,3014,1,0.0,카드,웹,정상
Q1-00086,2026-01-14,2085,3034,4,0.15,간편결제,모바일앱,정상
Q1-00087,2026-03-19,2073,3011,4,0.1,카드,웹,정상
Q1-00088,2026-01-27,2048,3014,3,0.05,카드,모바일앱,정상
Q1-00089,2026-01-17,2153,3013,2,0.1,간편결제,모바일앱,정상
Q1-00090,2026-01-31,2006,3020,2,0.0,카드,웹,정상
Q1-00091,2026-01-01,2046,3037,4,0.05,간편결제,모바일앱,환불
Q1-00092,2026-01-15,2023,3022,5,0.15,카드,웹,정상
Q1-00093,2026-02-23,2139,3019,4,0.0,계좌이체,모바일앱,정상
Q1-00094,2026-01-28,2078,3029,3,0.05,카드,모바일앱,정상
Q1-00095,2026-02-01,2148,3034,4,0.2,간편결제,웹,정상
Q1-00096,2026-03-14,2107,3001,1,0.1,간편결제,웹,정상
Q1-00097,2026-01-12,2090,3049,4,0.15,간편결제,웹,정상
Q1-00098,2026-02-05,2083,3051,1,0.0,무통장,모바일앱,정상
Q1-00099,2026-01-17,2033,3034,5,,간편결제,웹,정상
Q1-00100,2026-02-13,2090,3032,5,0.0,간편결제,오프라인,정상
Q1-00101,2026-01-30,2110,3039,3,0.05,계좌이체,웹,정상
Q1-00102,2026-01-05,2155,3025,2,0.05,간편결제,모바일앱,정상
Q1-00103,2026-01-07,2088,3021,4,0.1,간편결제,웹,정상
Q1-00104,2026-03-18,2151,3020,4,0.2,간편결제,오프라인,정상
Q1-00105,2026-01-06,2152,3009,4,0.1,카드,웹,정상
Q1-00106,2026-03-12,2084,3047,3,0.1,계좌이체,모바일앱,정상
Q1-00107,2026-03-24,2071,3018,2,0.05,간편결제,모바일앱,정상
Q1-00108,2026-02-11,2023,3016,1,0.05,카드,웹,정상
Q1-00109,2026-01-29,2043,3054,2,0.05,카드,모바일앱,정상
Q1-00110,2026-03-11,2141,3028,3,0.0,무통장,웹,환불
Q1-00111,2026-03-30,2023,3035,3,0.05,카드,모바일앱,정상
Q1-00112,2026-01-11,2064,3014,3,0.15,카드,모바일앱,정상
Q1-00113,2026-03-28,2112,3016,2,0.1,카드,모바일앱,정상
Q1-00114,2026-03-26,2039,3041,5,0.1,카드,웹,정상
Q1-00115,2026-01-13,2156,3025,2,0.0,계좌이체,웹,정상
Q1-00116,2026-01-05,2104,3009,5,0.05,간편결제,웹,정상
Q1-00117,2026-03-06,2005,3046,2,0.0,무통장,웹,정상
Q1-00118,2026-01-07,2040,3023,3,0.0,간편결제,웹,정상
Q1-00119,2026-02-24,2119,3037,4,0.05,간편결제,오프라인,정상
Q1-00120,2026-01-06,2139,3019,2,0.0,카드,모바일앱,정상
Q1-00121,2026-03-04,2149,3031,2,0.0,간편결제,모바일앱,정상
Q1-00122,2026-01-21,2137,3043,2,0.1,카드,모바일앱,정상
Q1-00123,2026-01-09,2012,3049,5,0.05,카드,웹,환불
Q1-00124,2026-01-06,2117,3012,1,0.0,무통장,모바일앱,정상
Q1-00125,2026-01-17,2018,3037,3,0.0,간편결제,웹,정상
Q1-00126,2026-02-18,2013,3051,4,0.05,카드,웹,정상
Q1-00127,2026-01-07,2111,3036,4,0.05,간편결제,모바일앱,정상
Q1-00128,2026-03-14,2077,3008,3,0.05,카드,모바일앱,정상
Q1-00129,2026-02-24,2104,3011,1,0.05,카드,오프라인,정상
Q1-00130,2026-01-27,2137,3012,1,0.0,카드,웹,정상
Q1-00131,2026-03-30,2012,3006,3,0.2,카드,모바일앱,정상
Q1-00132,2026-03-01,2085,3042,5,0.0,계좌이체,웹,정상
Q1-00133,2026-03-02,2134,3054,1,0.05,카드,웹,정상
Q1-00134,2026-01-16,2071,3029,5,0.0,계좌이체,모바일앱,정상
Q1-00135,2026-03-05,2084,3033,4,0.05,카드,웹,환불
Q1-00136,2026-02-20,2080,3043,1,0.0,간편결제,모바일앱,정상
Q1-00137,2026-03-30,2146,3023,2,0.15,계좌이체,모바일앱,정상
Q1-00138,2026-02-13,2008,3026,2,0.0,간편결제,웹,정상
Q1-00139,2026-03-03,2141,3033,5,0.1,카드,오프라인,정상
Q1-00140,2026-01-31,2131,3017,3,0.0,계좌이체,모바일앱,정상
Q1-00141,2026-01-04,2131,3004,2,0.0,간편결제,모바일앱,환불
Q1-00142,2026-01-12,2066,3032,2,0.0,카드,모바일앱,정상
Q1-00143,2026-03-20,2083,3046,3,0.05,카드,오프라인,정상
Q1-00144,2026-03-08,2060,3005,1,0.05,카드,웹,정상
Q1-00145,2026-02-02,2041,3012,2,,카드,모바일앱,정상
Q1-00146,2026-03-04,2141,3015,1,0.1,카드,모바일앱,정상
Q1-00147,2026-01-01,2081,3045,4,,카드,웹,정상
Q1-00148,2026-01-04,2116,3028,4,0.0,카드,모바일앱,정상
Q1-00149,2026-02-15,2017,3030,3,0.1,간편결제,오프라인,정상
Q1-00150,2026-02-26,2127,3036,1,0.05,카드,모바일앱,정상
Q1-00151,2026-03-26,2106,3016,2,0.05,카드,모바일앱,정상
Q1-00152,2026-03-10,2160,3040,5,,간편결제,모바일앱,정상
Q1-00153,2026-01-24,2022,3002,2,0.1,카드,모바일앱,정상
Q1-00154,2026-03-15,2087,3007,1,0.15,카드,모바일앱,정상
Q1-00155,2026-02-14,2082,3045,1,0.1,카드,모바일앱,환불
Q1-00156,2026-03-16,2087,3037,5,0.0,카드,웹,정상
Q1-00157,2026-01-16,2009,3010,1,0.1,카드,웹,정상
Q1-00158,2026-01-03,2076,3025,3,0.05,카드,모바일앱,정상
Q1-00159,2026-01-06,2048,3003,5,0.2,카드,모바일앱,환불
Q1-00160,2026-03-31,2099,3037,4,0.15,무통장,모바일앱,정상
Q1-00161,2026-01-08,2038,3042,3,0.0,간편결제,웹,정상
Q1-00162,2026-03-26,2070,3016,2,0.0,카드,웹,정상
Q1-00163,2026-03-07,2100,3020,1,0.0,카드,모바일앱,정상
Q1-00164,2026-01-14,2011,3014,1,0.05,카드,모바일앱,정상
Q1-00165,2026-03-19,2126,3022,5,0.0,간편결제,웹,정상
Q1-00166,2026-01-13,2115,3015,1,0.1,간편결제,모바일앱,정상
Q1-00167,2026-01-13,2010,3014,1,0.05,카드,모바일앱,정상
Q1-00168,2026-02-21,2011,3024,5,0.15,카드,오프라인,정상
Q1-00169,2026-01-26,2137,3048,3,0.0,카드,웹,정상
Q1-00170,2026-01-27,2046,3042,2,0.05,간편결제,오프라인,정상
Q1-00171,2026-01-18,2138,3017,4,0.0,간편결제,모바일앱,환불
Q1-00172,2026-02-24,2080,3052,3,0.15,카드,모바일앱,정상
Q1-00173,2026-01-03,2055,3012,5,0.0,계좌이체,웹,정상
Q1-00174,2026-01-23,2044,3051,3,0.0,카드,모바일앱,정상
Q1-00175,2026-02-19,2106,3018,4,0.0,간편결제,모바일앱,정상
Q1-00176,2026-02-13,2018,3030,5,0.15,간편결제,웹,정상
Q1-00177,2026-03-04,2065,3012,3,0.0,카드,모바일앱,정상
Q1-00178,2026-01-20,2056,3042,2,0.05,카드,모바일앱,정상
Q1-00179,2026-02-28,2025,3018,5,0.1,계좌이체,모바일앱,정상
Q1-00180,2026-03-10,2057,3048,2,0.1,카드,웹,환불
Q1-00181,2026-02-04,2085,3005,1,0.0,간편결제,모바일앱,정상
Q1-00182,2026-01-24,2109,3028,3,0.0,카드,웹,정상
Q1-00183,2026-02-19,2014,3009,5,0.05,간편결제,오프라인,정상
Q1-00184,2026-02-22,2140,3049,1,0.0,카드,오프라인,정상
Q1-00185,2026-01-09,2141,3023,5,0.1,카드,웹,정상
Q1-00186,2026-02-20,2111,3038,5,0.0,카드,웹,정상
Q1-00187,2026-01-14,2148,3049,5,0.05,카드,웹,정상
Q1-00188,2026-02-21,2069,3030,3,0.0,카드,모바일앱,정상
Q1-00189,2026-03-25,2132,3004,2,0.05,간편결제,모바일앱,정상
Q1-00190,2026-02-18,2117,3013,3,0.0,카드,모바일앱,정상
Q1-00191,2026-03-10,2091,3012,1,0.1,카드,웹,정상
Q1-00192,2026-01-28,2029,3051,5,0.0,카드,웹,정상
Q1-00193,2026-03-25,2090,3050,4,,카드,웹,정상
Q1-00194,2026-03-15,2145,3027,3,0.1,간편결제,모바일앱,정상
Q1-00195,2026-03-24,2158,3049,3,0.0,무통장,모바일앱,정상
Q1-00196,2026-03-08,2072,3014,4,0.0,카드,모바일앱,정상
Q1-00197,2026-02-28,2040,3038,3,0.0,간편결제,웹,정상
Q1-00198,2026-02-17,2120,3022,5,0.0,간편결제,오프라인,정상
Q1-00199,2026-03-25,2013,3014,5,0.0,무통장,웹,정상
Q1-00200,2026-03-18,2025,3014,5,0.15,카드,모바일앱,정상
Q1-00201,2026-02-07,2090,3024,4,0.05,카드,모바일앱,정상
Q1-00202,2026-01-08,2159,3019,4,0.0,카드,모바일앱,정상
Q1-00203,2026-01-01,2053,3012,2,0.05,간편결제,모바일앱,정상
Q1-00204,2026-01-22,2071,3019,1,0.0,간편결제,웹,정상
Q1-00205,2026-01-06,2052,3008,3,,카드,모바일앱,정상
Q1-00206,2026-01-20,2071,3054,5,0.0,카드,웹,정상
Q1-00207,2026-01-10,2002,3021,1,0.1,간편결제,모바일앱,정상
Q1-00208,2026-03-30,2096,3006,3,0.1,간편결제,웹,정상
Q1-00209,2026-01-09,2096,3032,1,0.0,카드,웹,정상
Q1-00210,2026-02-26,2051,3049,3,0.0,간편결제,웹,정상
Q1-00211,2026-02-01,2043,3020,1,0.0,카드,웹,정상
Q1-00212,2026-01-16,2122,3047,4,0.15,카드,모바일앱,정상
Q1-00213,2026-03-05,2031,3034,5,0.05,계좌이체,모바일앱,정상
Q1-00214,2026-03-29,2008,3041,4,0.1,간편결제,웹,정상
Q1-00215,2026-03-13,2007,3017,4,0.1,무통장,오프라인,정상
Q1-00216,2026-03-29,2142,3003,2,0.15,카드,오프라인,정상
Q1-00217,2026-02-23,2059,3020,3,0.05,카드,웹,정상
Q1-00218,2026-03-02,2017,3051,1,0.05,카드,모바일앱,정상
Q1-00219,2026-01-14,2141,3044,2,0.1,카드,모바일앱,정상
Q1-00220,2026-03-18,2024,3044,3,0.0,카드,모바일앱,정상
Q1-00221,2026-03-09,2054,3049,4,0.15,카드,모바일앱,정상
Q1-00222,2026-01-23,2004,3021,1,0.0,카드,모바일앱,정상
Q1-00223,2026-02-01,2109,3018,5,0.0,카드,웹,정상
Q1-00224,2026-02-24,2112,3051,3,0.15,카드,웹,정상
Q1-00225,2026-01-02,2122,3032,5,0.0,간편결제,모바일앱,정상
Q1-00226,2026-03-15,2043,3017,3,0.0,카드,모바일앱,정상
Q1-00227,2026-01-26,2053,3016,3,0.0,계좌이체,모바일앱,정상
Q1-00228,2026-01-07,2151,3049,4,0.05,간편결제,웹,정상
Q1-00229,2026-01-30,2132,3003,5,0.15,계좌이체,웹,정상
Q1-00230,2026-03-17,2006,3004,1,0.0,카드,웹,정상
Q1-00231,2026-01-25,2111,3041,3,0.0,카드,웹,정상
Q1-00232,2026-02-18,2131,3001,1,0.05,계좌이체,웹,정상
Q1-00233,2026-03-15,2090,3010,3,0.2,계좌이체,모바일앱,정상
Q1-00234,2026-01-04,2103,3055,5,0.0,카드,모바일앱,정상
Q1-00235,2026-03-10,2001,3024,5,0.2,카드,모바일앱,정상
Q1-00236,2026-01-26,2005,3041,2,0.15,계좌이체,모바일앱,정상
Q1-00237,2026-03-04,2006,3027,2,0.0,카드,웹,정상
Q1-00238,2026-01-17,2026,3005,3,0.15,계좌이체,모바일앱,정상
Q1-00239,2026-01-13,2159,3011,2,0.1,카드,웹,정상
Q1-00240,2026-03-12,2102,3042,1,0.05,카드,모바일앱,정상
Q1-00241,2026-03-14,2126,3006,2,0.05,간편결제,웹,정상
Q1-00242,2026-03-30,2048,3033,3,0.15,카드,모바일앱,정상
Q1-00243,2026-03-02,2151,3020,3,0.1,계좌이체,모바일앱,정상
Q1-00244,2026-02-11,2032,3021,5,0.1,카드,모바일앱,정상
Q1-00245,2026-01-18,2145,3053,3,,카드,모바일앱,정상
Q1-00246,2026-01-27,2005,3034,2,0.05,간편결제,모바일앱,정상
Q1-00247,2026-02-28,2004,3034,4,0.15,카드,웹,정상
Q1-00248,2026-02-01,2013,3020,4,0.15,카드,모바일앱,정상
Q1-00249,2026-02-13,2127,3021,3,0.0,간편결제,모바일앱,정상
Q1-00250,2026-01-16,2042,3038,3,0.0,간편결제,오프라인,정상
Q1-00251,2026-02-09,2073,3003,2,0.0,간편결제,모바일앱,정상
Q1-00252,2026-01-22,2076,3014,5,0.15,카드,웹,정상
Q1-00253,2026-01-11,2127,3034,5,0.0,카드,모바일앱,정상
Q1-00254,2026-01-12,2056,3035,1,0.1,계좌이체,모바일앱,정상
Q1-00255,2026-02-16,2002,3006,2,0.0,카드,웹,정상
Q1-00256,2026-02-02,2062,3044,2,0.0,카드,웹,정상
Q1-00257,2026-01-09,2047,3030,5,0.05,간편결제,웹,정상
Q1-00258,2026-02-16,2117,3014,1,0.0,카드,모바일앱,정상
Q1-00259,2026-01-15,2121,3042,2,0.15,카드,웹,정상
Q1-00260,2026-01-02,2015,3055,2,0.0,카드,웹,정상
Q1-00261,2026-01-12,2127,3024,3,0.2,카드,웹,정상
Q1-00262,2026-02-10,2012,3016,2,0.0,계좌이체,오프라인,정상
Q1-00263,2026-03-27,2100,3017,3,,간편결제,웹,정상
Q1-00264,2026-01-22,2063,3033,4,0.05,카드,웹,정상
Q1-00265,2026-01-26,2049,3003,5,0.0,카드,모바일앱,정상
Q1-00266,2026-01-22,2078,3027,1,0.0,계좌이체,웹,정상
Q1-00267,2026-02-01,2050,3002,1,0.0,카드,오프라인,정상
Q1-00268,2026-03-06,2128,3003,1,0.05,계좌이체,오프라인,정상
Q1-00269,2026-01-29,2155,3024,5,0.15,간편결제,모바일앱,정상
Q1-00270,2026-03-01,2131,3042,4,0.0,계좌이체,모바일앱,정상
Q1-00271,2026-03-22,2071,3049,3,0.05,카드,모바일앱,정상
Q1-00272,2026-03-27,2081,3005,4,0.05,무통장,웹,정상
Q1-00273,2026-02-20,2072,3014,3,0.05,카드,웹,정상
Q1-00274,2026-03-06,2127,3024,2,0.1,간편결제,웹,정상
Q1-00275,2026-03-24,2089,3032,3,0.05,계좌이체,웹,정상
Q1-00276,2026-03-12,2075,3055,4,0.1,계좌이체,모바일앱,정상
Q1-00277,2026-01-27,2066,3038,1,,간편결제,웹,정상
Q1-00278,2026-01-12,2061,3030,4,0.0,계좌이체,웹,정상
Q1-00279,2026-01-11,2089,3004,3,0.0,카드,모바일앱,정상
Q1-00280,2026-03-21,2111,3005,1,0.0,카드,모바일앱,정상
Q1-00281,2026-02-20,2070,3009,2,0.05,간편결제,웹,정상
Q1-00282,2026-01-27,2130,3037,3,0.0,계좌이체,웹,정상
Q1-00283,2026-02-01,2133,3019,2,0.2,카드,웹,정상
Q1-00284,2026-01-26,2069,3014,2,0.1,간편결제,웹,정상
Q1-00285,2026-03-14,2146,3037,4,0.05,간편결제,모바일앱,정상
Q1-00286,2026-02-25,2028,3045,3,0.1,카드,오프라인,정상
Q1-00287,2026-03-21,2150,3025,3,0.0,카드,모바일앱,정상
Q1-00288,2026-01-28,2048,3049,4,0.15,카드,모바일앱,정상
Q1-00289,2026-02-12,2091,3041,1,0.0,카드,모바일앱,정상
Q1-00290,2026-01-11,2046,3040,2,0.05,카드,모바일앱,정상
Q1-00291,2026-03-29,2071,3048,1,0.2,카드,웹,정상
Q1-00292,2026-02-16,2055,3011,5,0.1,카드,웹,정상
Q1-00293,2026-02-19,2113,3042,1,0.15,카드,모바일앱,정상
Q1-00294,2026-02-07,2013,3053,5,0.0,간편결제,모바일앱,정상
Q1-00295,2026-01-25,2135,3055,1,0.15,카드,웹,정상
Q1-00296,2026-03-27,2145,3032,2,0.05,무통장,웹,정상
Q1-00297,2026-02-14,2091,3042,4,0.05,간편결제,웹,정상
Q1-00298,2026-03-02,2088,3049,5,0.0,계좌이체,웹,정상
Q1-00299,2026-01-04,2112,3047,1,0.0,무통장,모바일앱,정상
Q1-00300,2026-01-25,2032,3050,2,0.05,간편결제,모바일앱,정상
Q1-00301,2026-03-14,2120,3046,5,0.0,카드,모바일앱,정상
Q1-00302,2026-01-08,2035,3021,2,0.1,간편결제,웹,정상
Q1-00303,2026-01-10,2109,3041,2,0.15,카드,웹,정상
Q1-00304,2026-03-14,2049,3023,4,0.2,간편결제,모바일앱,정상
Q1-00305,2026-01-28,2120,3045,1,0.0,계좌이체,모바일앱,정상
Q1-00306,2026-01-25,2127,3045,5,0.2,카드,웹,정상
Q1-00307,2026-02-20,2034,3052,5,0.0,카드,웹,환불
Q1-00308,2026-01-18,2099,3033,5,0.05,무통장,모바일앱,정상
Q1-00309,2026-01-04,2080,3027,2,0.15,카드,모바일앱,정상
Q1-00310,2026-01-01,2048,3010,1,0.0,카드,모바일앱,정상
Q1-00311,2026-01-08,2095,3036,3,0.0,카드,모바일앱,정상
Q1-00312,2026-01-15,2159,3032,2,0.0,카드,모바일앱,환불
Q1-00313,2026-03-04,2001,3029,5,0.05,간편결제,모바일앱,정상
Q1-00314,2026-01-27,2154,3038,4,0.15,간편결제,웹,정상
Q1-00315,2026-01-07,2137,3047,5,0.0,카드,모바일앱,정상
Q1-00316,2026-01-02,2085,3009,4,0.0,카드,모바일앱,정상
Q1-00317,2026-02-12,2098,3024,4,0.05,카드,웹,정상
Q1-00318,2026-03-17,2060,3040,1,0.0,카드,모바일앱,정상
Q1-00319,2026-01-31,2021,3046,1,0.1,간편결제,모바일앱,정상
Q1-00320,2026-01-06,2092,3043,1,0.2,간편결제,웹,정상
Q1-00321,2026-01-21,2131,3044,3,0.1,카드,웹,정상
Q1-00322,2026-02-14,2037,3048,2,0.15,계좌이체,모바일앱,정상
Q1-00323,2026-01-17,2115,3053,5,0.05,카드,오프라인,정상
Q1-00324,2026-03-30,2120,3034,1,0.15,계좌이체,모바일앱,정상
Q1-00325,2026-03-10,2122,3014,5,0.0,계좌이체,오프라인,정상
Q1-00326,2026-02-01,2055,3031,4,0.0,간편결제,모바일앱,정상
Q1-00327,2026-03-27,2063,3040,1,0.1,계좌이체,모바일앱,정상
Q1-00328,2026-01-30,2067,3006,1,0.0,무통장,모바일앱,정상
Q1-00329,2026-01-13,2137,3042,2,0.15,카드,모바일앱,정상
Q1-00330,2026-03-26,2145,3030,2,0.1,카드,모바일앱,환불
Q1-00331,2026-03-28,2067,3052,2,0.2,카드,모바일앱,정상
Q1-00332,2026-01-29,2156,3012,3,0.0,계좌이체,모바일앱,정상
Q1-00333,2026-02-23,2092,3050,1,0.05,계좌이체,웹,정상
Q1-00334,2026-01-16,2062,3025,1,0.1,계좌이체,모바일앱,정상
Q1-00335,2026-02-27,2001,3032,4,0.0,간편결제,오프라인,정상
Q1-00336,2026-03-04,2098,3037,5,0.05,카드,웹,정상
Q1-00337,2026-03-05,2104,3032,2,0.1,간편결제,오프라인,정상
Q1-00338,2026-02-21,2155,3050,5,,간편결제,모바일앱,정상
Q1-00339,2026-03-05,2115,3010,2,0.1,카드,웹,정상
Q1-00340,2026-02-19,2005,3041,2,0.0,카드,웹,정상
Q1-00341,2026-03-15,2091,3054,1,0.05,카드,모바일앱,정상
Q1-00342,2026-01-17,2119,3013,3,0.05,카드,모바일앱,환불
Q1-00343,2026-02-13,2080,3015,3,0.0,간편결제,웹,환불
Q1-00344,2026-02-07,2069,3027,4,0.05,간편결제,모바일앱,환불
Q1-00345,2026-02-18,2130,3040,1,0.0,계좌이체,웹,정상
Q1-00346,2026-01-13,2098,3053,1,0.0,카드,모바일앱,정상
Q1-00347,2026-01-30,2110,3044,3,0.05,간편결제,모바일앱,정상
Q1-00348,2026-03-27,2075,3044,1,0.0,간편결제,모바일앱,정상
Q1-00349,2026-01-10,2045,3025,1,0.05,카드,모바일앱,정상
Q1-00350,2026-02-27,2084,3036,4,0.0,간편결제,모바일앱,정상
Q1-00351,2026-03-01,2154,3012,5,0.1,카드,오프라인,정상
Q1-00352,2026-02-12,2097,3026,3,0.0,카드,웹,정상
Q1-00353,2026-01-04,2114,3011,1,0.15,카드,웹,정상
Q1-00354,2026-01-04,2020,3002,5,0.0,카드,웹,정상
Q1-00355,2026-01-25,2159,3048,3,0.05,간편결제,모바일앱,정상
Q1-00356,2026-01-10,2040,3045,4,0.0,카드,모바일앱,정상
Q1-00357,2026-01-09,2156,3029,1,0.0,카드,모바일앱,정상
Q1-00358,2026-01-15,2072,3001,3,0.05,카드,웹,환불
Q1-00359,2026-01-18,2148,3005,1,0.15,카드,웹,정상
Q1-00360,2026-03-17,2143,3007,4,0.2,카드,모바일앱,정상
Q1-00361,2026-02-27,2121,3040,2,0.0,카드,오프라인,정상
Q1-00362,2026-01-03,2147,3012,5,0.0,간편결제,웹,정상
Q1-00363,2026-02-26,2098,3014,1,0.1,카드,웹,정상
Q1-00364,2026-01-13,2136,3048,4,0.05,간편결제,웹,정상
Q1-00365,2026-02-07,2028,3049,1,0.0,카드,모바일앱,정상
Q1-00366,2026-01-04,2012,3042,4,0.1,간편결제,웹,정상
Q1-00367,2026-01-09,2087,3018,3,0.05,간편결제,웹,정상
Q1-00368,2026-01-12,2130,3032,5,0.1,카드,모바일앱,정상
Q1-00369,2026-02-09,2123,3012,4,0.0,카드,웹,정상
