생산ID,생산일자,설비ID,작업자ID,제품유형,교대,생산수량,온도,압력,진동,사이클타임,불량수량
FEB-00139,2026-02-23,M09,OP010,샤프트,주간,200,43.9,107.3,2.73,39.5,6
FEB-00140,2026-02-15,M12,OP002,기어,주간,236,50.5,103.6,3.48,50.7,7
FEB-00141,2026-02-12,M01,OP006,샤프트,주간,220,54.4,127.2,2.44,46.8,6
FEB-00142,2026-02-27,M12,OP013,샤프트,야간,185,50.3,99.6,2.94,46.9,4
FEB-00143,2026-02-05,M03,OP003,브라켓,주간,132,48.7,119.9,2.45,51.3,4
FEB-00144,2026-02-13,M06,OP002,샤프트,주간,191,55.4,109.6,2.07,52.8,3
FEB-00145,2026-02-05,M04,OP020,브라켓,야간,176,69.6,104.8,1.52,48.2,4
FEB-00146,2026-02-19,M02,OP025,기어,야간,237,52.1,121.5,1.92,47.6,3
FEB-00147,2026-02-26,M09,OP007,브라켓,주간,119,55.0,108.5,4.02,62.4,4
FEB-00148,2026-02-28,M06,OP016,샤프트,야간,84,47.1,103.8,2.41,56.4,1
FEB-00149,2026-02-07,M07,OP018,하우징,주간,101,62.5,121.6,3.63,53.8,2
FEB-00150,2026-02-21,M06,OP021,기어,야간,109,60.2,120.0,3.97,48.9,2
FEB-00151,2026-02-25,M09,OP030,브라켓,주간,192,59.8,119.4,,41.0,6
FEB-00152,2026-02-24,M12,OP027,샤프트,주간,104,63.2,58.3,2.96,55.9,2
FEB-00153,2026-02-15,M07,OP010,샤프트,주간,102,52.4,110.3,3.31,49.0,3
FEB-00154,2026-02-05,M02,OP030,브라켓,야간,147,53.2,107.5,2.87,44.0,3
FEB-00155,2026-02-13,M04,OP002,샤프트,주간,212,65.3,104.6,4.16,46.3,8
FEB-00156,2026-02-22,M06,OP029,하우징,주간,152,58.8,112.3,4.7,41.2,3
FEB-00157,2026-02-18,M02,OP005,샤프트,야간,126,41.7,108.1,4.36,55.4,5
FEB-00158,2026-02-11,M03,OP004,샤프트,주간,128,57.7,113.1,1.48,52.8,2
FEB-00159,2026-02-07,M03,OP004,하우징,야간,219,51.5,101.8,2.85,49.3,5
FEB-00160,2026-02-19,M12,OP004,기어,주간,153,60.4,123.0,3.2,47.7,2
FEB-00161,2026-02-12,M05,OP014,하우징,주간,142,57.4,114.3,3.57,43.2,2
FEB-00162,2026-02-14,M11,OP020,기어,주간,211,44.6,111.5,1.82,33.1,2
FEB-00163,2026-02-27,M07,OP023,하우징,주간,142,56.6,110.9,1.81,38.1,2
FEB-00164,2026-02-01,M07,OP001,브라켓,주간,140,56.3,118.9,4.25,42.8,4
FEB-00165,2026-02-07,M12,OP009,샤프트,주간,207,57.2,117.3,2.75,41.7,5
FEB-00166,2026-02-26,M09,OP004,기어,야간,135,58.5,103.6,2.01,50.0,3
FEB-00167,2026-02-26,M03,OP005,기어,주간,166,64.0,116.9,2.32,53.7,4
FEB-00168,2026-02-09,M04,OP023,하우징,주간,192,57.5,107.1,3.51,47.1,2
FEB-00169,2026-02-28,M08,OP020,기어,야간,114,55.1,128.0,2.54,57.9,2
FEB-00170,2026-02-06,M01,OP007,하우징,주간,101,61.9,118.2,3.39,42.5,2
FEB-00171,2026-02-02,M02,OP010,기어,야간,224,68.5,97.5,2.42,47.1,6
FEB-00172,2026-02-09,M01,OP028,하우징,야간,130,60.5,133.0,1.8,47.6,2
FEB-00173,2026-02-15,M09,OP018,브라켓,주간,137,56.2,79.8,4.34,55.6,5
FEB-00174,2026-02-01,M06,OP008,기어,야간,180,57.6,112.6,3.52,48.7,4
FEB-00175,2026-02-05,M01,OP029,기어,야간,97,56.5,96.6,2.93,48.9,2
FEB-00176,2026-02-23,M09,OP006,샤프트,주간,87,55.1,127.6,2.78,36.4,2
FEB-00177,2026-02-18,M08,OP009,기어,야간,150,68.0,108.0,4.37,41.7,5
FEB-00178,2026-02-17,M09,OP021,샤프트,주간,244,50.5,95.5,3.67,55.7,4
FEB-00179,2026-02-28,M02,OP016,브라켓,주간,177,61.9,101.8,4.12,33.5,5
FEB-00180,2026-02-07,M11,OP003,기어,주간,178,54.2,96.4,2.73,57.4,2
FEB-00181,2026-02-26,M03,OP025,샤프트,주간,183,46.1,101.3,3.24,51.5,3
FEB-00182,2026-02-10,M07,OP007,샤프트,야간,226,53.9,101.1,3.52,42.8,7
FEB-00183,2026-02-26,M07,OP021,기어,주간,222,51.7,96.0,2.76,42.2,4
FEB-00184,2026-02-22,M03,OP011,브라켓,야간,84,58.5,108.2,3.12,61.3,2
FEB-00185,2026-02-06,M05,OP023,기어,야간,172,55.5,109.7,2.73,57.9,5
FEB-00186,2026-02-06,M01,OP027,샤프트,야간,172,48.9,93.0,3.52,47.2,3
FEB-00187,2026-02-16,M06,OP024,기어,야간,118,63.8,85.1,2.14,48.9,2
FEB-00188,2026-02-15,M09,OP028,브라켓,주간,245,61.5,108.7,3.66,43.5,3
FEB-00189,2026-02-07,M04,OP017,브라켓,야간,124,64.5,111.4,3.45,48.9,2
FEB-00190,2026-02-08,M07,OP002,샤프트,야간,221,56.4,113.8,3.04,43.3,4
FEB-00191,2026-02-26,M12,OP017,하우징,주간,97,,111.6,3.56,47.5,2
FEB-00192,2026-02-22,M03,OP014,하우징,야간,182,59.2,123.9,2.91,60.7,5
FEB-00193,2026-02-06,M04,OP022,하우징,주간,205,51.5,117.0,2.66,47.3,6
FEB-00194,2026-02-21,M02,OP008,기어,주간,165,55.8,137.2,3.63,40.7,2
FEB-00195,2026-02-05,M07,OP021,하우징,주간,98,53.9,142.2,3.67,38.4,3
FEB-00196,2026-02-13,M03,OP014,하우징,주간,101,46.2,83.9,2.79,48.9,3
FEB-00197,2026-02-01,M11,OP021,샤프트,주간,182,55.8,78.6,2.73,42.7,3
FEB-00198,2026-02-19,M04,OP013,샤프트,주간,226,52.4,104.9,3.05,49.7,5
FEB-00199,2026-02-06,M08,OP012,기어,야간,181,53.5,111.1,2.76,36.7,6
FEB-00200,2026-02-07,M03,OP007,샤프트,야간,97,57.2,104.1,4.42,52.8,3
FEB-00201,2026-02-06,M04,OP025,기어,야간,213,62.6,113.4,3.45,40.6,5
FEB-00202,2026-02-06,M03,OP003,브라켓,야간,158,49.9,101.8,3.21,48.3,3
FEB-00203,2026-02-03,M07,OP008,브라켓,야간,92,53.0,96.7,2.45,45.6,1
FEB-00204,2026-02-16,M01,OP013,샤프트,야간,142,50.4,98.5,3.79,60.0,3
FEB-00205,2026-02-25,M01,OP005,샤프트,주간,114,50.0,102.6,2.71,49.2,2
FEB-00206,2026-02-09,M07,OP028,하우징,야간,247,51.4,115.1,2.68,61.6,4
FEB-00207,2026-02-22,M07,OP011,기어,주간,234,53.8,99.2,3.82,51.9,5
FEB-00208,2026-02-16,M04,OP008,샤프트,주간,98,58.5,101.5,3.51,58.0,1
FEB-00209,2026-02-08,M06,OP008,하우징,주간,177,,111.8,1.2,46.5,4
FEB-00210,2026-02-02,M05,OP006,샤프트,주간,81,48.7,102.6,3.07,50.4,2
FEB-00211,2026-02-22,M10,OP020,샤프트,야간,157,62.8,118.4,3.3,56.5,3
FEB-00212,2026-02-01,M06,OP015,하우징,주간,106,60.7,94.0,2.93,54.3,2
FEB-00213,2026-02-12,M11,OP007,하우징,야간,207,49.6,91.4,3.33,51.7,3
FEB-00214,2026-02-01,M03,OP027,기어,주간,92,62.3,108.7,1.75,45.7,2
FEB-00215,2026-02-22,M03,OP020,하우징,주간,233,57.0,109.9,0.94,46.9,4
FEB-00216,2026-02-28,M05,OP013,브라켓,주간,119,,94.6,2.42,56.0,2
FEB-00217,2026-02-10,M01,OP016,샤프트,주간,124,57.1,121.1,3.43,57.4,3
FEB-00218,2026-02-09,M09,OP020,하우징,야간,230,54.8,128.1,0.62,43.8,5
FEB-00219,2026-02-16,M05,OP005,샤프트,주간,233,58.3,97.5,2.53,42.8,2
FEB-00220,2026-02-15,M05,OP025,기어,주간,96,56.1,122.8,1.66,41.7,2
FEB-00221,2026-02-11,M07,OP008,기어,주간,98,53.0,76.4,3.01,53.8,2
FEB-00222,2026-02-11,M01,OP001,기어,야간,225,42.8,117.9,4.77,41.5,7
FEB-00223,2026-02-06,M05,OP016,샤프트,야간,246,58.2,94.7,3.03,53.7,7
FEB-00224,2026-02-08,M12,OP027,하우징,야간,163,52.8,116.7,3.11,51.8,5
FEB-00225,2026-02-17,M08,OP022,기어,야간,108,59.7,93.5,3.87,44.2,3
FEB-00226,2026-02-21,M07,OP010,브라켓,야간,105,57.9,104.2,3.22,58.9,2
FEB-00227,2026-02-22,M07,OP012,기어,주간,125,52.9,95.3,3.03,37.8,1
FEB-00228,2026-02-15,M06,OP018,브라켓,주간,196,61.1,102.4,3.94,59.6,2
FEB-00229,2026-02-22,M12,OP007,기어,주간,96,56.2,127.0,3.58,50.2,2
FEB-00230,2026-02-17,M12,OP025,기어,주간,189,56.0,103.7,3.43,33.5,5
FEB-00231,2026-02-10,M05,OP009,하우징,주간,216,54.2,130.3,3.09,59.1,3
FEB-00232,2026-02-10,M12,OP007,하우징,주간,104,65.1,100.4,2.92,54.8,1
FEB-00233,2026-02-15,M01,OP003,기어,주간,247,50.7,122.9,3.93,45.0,4
FEB-00234,2026-02-09,M04,OP021,기어,주간,247,53.1,85.5,2.93,41.2,4
FEB-00235,2026-02-22,M04,OP001,하우징,주간,130,47.6,101.6,4.19,37.0,4
FEB-00236,2026-02-06,M09,OP025,하우징,주간,99,59.4,98.6,2.36,64.9,1
FEB-00237,2026-02-02,M08,OP030,기어,야간,135,51.5,123.5,4.35,41.5,6
FEB-00238,2026-02-14,M06,OP004,하우징,야간,123,52.2,107.2,3.58,39.2,3
FEB-00239,2026-02-03,M04,OP003,기어,주간,127,51.9,79.9,2.43,49.9,4
FEB-00240,2026-02-06,M07,OP029,기어,주간,237,55.4,89.3,3.61,36.5,3
FEB-00241,2026-02-11,M04,OP004,하우징,주간,106,47.5,92.8,2.68,41.1,3
FEB-00242,2026-02-01,M06,OP013,브라켓,주간,133,41.5,116.2,3.23,55.0,4
FEB-00243,2026-02-07,M05,OP027,샤프트,주간,213,57.7,114.7,2.81,51.2,3
FEB-00244,2026-02-16,M11,OP005,샤프트,주간,89,42.3,101.4,3.09,45.3,1
FEB-00245,2026-02-11,M09,OP020,샤프트,야간,90,60.1,98.4,3.95,48.1,2
FEB-00246,2026-02-26,M03,OP012,하우징,야간,131,64.4,113.6,3.61,44.9,2
FEB-00247,2026-02-03,M12,OP014,기어,야간,244,54.0,91.4,2.3,47.6,6
FEB-00248,2026-02-21,M08,OP028,기어,야간,222,62.8,110.5,2.35,42.7,5
FEB-00249,2026-02-17,M05,OP020,샤프트,야간,237,54.9,109.5,3.42,43.9,3
FEB-00250,2026-02-19,M07,OP010,브라켓,야간,226,64.6,101.7,3.47,43.7,9
FEB-00251,2026-02-19,M03,OP029,기어,야간,100,52.3,109.8,2.66,42.9,2
FEB-00252,2026-02-02,M01,OP018,하우징,야간,148,40.8,106.2,4.47,55.3,5
FEB-00253,2026-02-23,M06,OP003,샤프트,야간,170,54.5,111.0,3.85,53.4,3
FEB-00254,2026-02-10,M10,OP012,샤프트,야간,108,65.2,89.0,2.7,41.5,2
FEB-00255,2026-02-19,M05,OP008,샤프트,주간,248,58.2,112.4,2.62,39.6,4
FEB-00256,2026-02-09,M05,OP020,기어,주간,182,51.9,117.3,3.02,46.9,3
FEB-00257,2026-02-12,M12,OP026,기어,주간,224,57.0,108.9,2.93,63.1,4
FEB-00258,2026-02-20,M12,OP002,샤프트,주간,123,60.8,112.2,4.2,40.8,4
FEB-00259,2026-02-27,M06,OP024,기어,주간,201,54.5,103.7,3.99,46.9,4
FEB-00260,2026-02-25,M01,OP028,샤프트,주간,98,70.8,115.7,3.23,48.6,2
FEB-00261,2026-02-21,M09,OP030,기어,주간,83,51.9,105.8,3.74,47.2,1
FEB-00262,2026-02-16,M09,OP020,샤프트,주간,188,61.0,91.2,3.86,44.8,4
FEB-00263,2026-02-15,M11,OP010,샤프트,야간,91,59.6,114.8,3.25,56.1,2
FEB-00264,2026-02-28,M12,OP005,샤프트,주간,126,50.8,85.4,3.52,51.2,3
FEB-00265,2026-02-06,M08,OP029,하우징,주간,214,52.5,108.4,3.68,53.9,4
FEB-00266,2026-02-27,M02,OP013,브라켓,주간,164,61.1,100.4,3.59,52.1,3
FEB-00267,2026-02-19,M03,OP011,하우징,주간,143,55.9,99.6,2.58,54.3,2
FEB-00268,2026-02-18,M09,OP023,샤프트,야간,129,57.0,107.1,2.66,59.1,3
FEB-00269,2026-02-17,M08,OP022,브라켓,야간,193,45.2,96.5,2.97,57.3,5
FEB-00270,2026-02-23,M06,OP025,브라켓,주간,242,58.9,111.1,2.63,64.3,4
FEB-00271,2026-02-20,M05,OP027,기어,주간,205,56.7,105.7,2.02,56.5,3
FEB-00272,2026-02-03,M09,OP027,샤프트,주간,141,54.6,97.6,3.74,43.3,3
FEB-00273,2026-02-22,M06,OP006,하우징,야간,151,57.2,121.1,3.48,53.9,4
FEB-00274,2026-02-21,M02,OP006,브라켓,야간,97,52.5,107.5,2.13,53.0,3
FEB-00275,2026-02-26,M12,OP007,하우징,야간,104,51.4,112.6,3.01,61.4,2
FEB-00276,2026-02-27,M05,OP019,하우징,주간,125,53.5,122.0,3.05,41.2,3
FEB-00277,2026-02-27,M04,OP018,하우징,야간,145,52.2,121.8,3.35,51.9,2
FEB-00278,2026-02-02,M01,OP026,브라켓,야간,248,68.1,112.0,2.33,43.2,7
FEB-00279,2026-02-18,M06,OP026,샤프트,야간,228,60.5,101.4,2.12,51.6,3
FEB-00280,2026-02-27,M12,OP025,샤프트,주간,99,49.2,87.8,3.62,46.5,1
FEB-00281,2026-02-28,M02,OP003,브라켓,주간,136,67.2,107.5,1.97,51.4,3
FEB-00282,2026-02-16,M03,OP021,샤프트,주간,89,52.4,118.1,3.01,38.1,1
FEB-00283,2026-02-26,M03,OP026,기어,주간,90,55.2,109.3,2.94,53.6,1
FEB-00284,2026-02-25,M02,OP030,샤프트,야간,143,60.4,63.7,3.1,49.4,3
FEB-00285,2026-02-01,M08,OP011,샤프트,주간,243,43.2,115.4,3.4,49.1,5
FEB-00286,2026-02-25,M04,OP024,샤프트,주간,111,53.6,116.2,4.48,61.7,3
FEB-00287,2026-02-18,M10,OP013,기어,야간,195,51.6,101.4,1.92,45.3,5
FEB-00288,2026-02-17,M05,OP005,기어,주간,146,56.2,116.9,3.9,50.4,2
